"year","iso2c","LUR_PT","BGS_BP6_USD","CG01_GALM_G01_XDC","NGDP_R_CH_SA_XDC","BCG_GALM_G01_XDC"
"1963","DE","0.841666666666667",NA,NA,NA,NA
"1963","FR",NA,NA,NA,"538501",NA
"1963","GB","2.16666666591667",NA,NA,NA,NA
"1963","IL",NA,"0",NA,NA,NA
"1963","US","5.66666666666667",NA,NA,"3527050",NA
"1963","ZA",NA,"510.999795804481",NA,NA,NA
"1964","AT","2.68333333283333",NA,NA,NA,NA
"1964","AU","1.39999999925",NA,NA,"307801",NA
"1964","CA","4.65833333266667","563.62815448225",NA,NA,NA
"1964","DE","0.741666666666667",NA,NA,NA,NA
"1964","FR",NA,NA,NA,"573886",NA
"1964","GB","1.57499999975",NA,NA,NA,NA
"1964","IL",NA,"0",NA,NA,NA
"1964","US","5.19166666666667",NA,NA,"3730500",NA
"1964","ZA",NA,"198.799920559552",NA,NA,NA
"1965","AT","2.64999999958333",NA,NA,NA,NA
"1965","AU","1.299999999",NA,NA,"323316",NA
"1965","CA","3.86666666591667","-72.9143652911608",NA,NA,NA
"1965","DE","0.658333333333333",NA,NA,NA,NA
"1965","DK","2",NA,NA,NA,NA
"1965","FR",NA,NA,NA,"601786",NA
"1965","GB","1.32499999975",NA,NA,NA,NA
"1965","IL",NA,"-456",NA,NA,NA
"1965","US","4.525",NA,NA,"3972900",NA
"1965","ZA",NA,"-121.799951328739",NA,NA,NA
"1966","AT","2.516666666",NA,NA,NA,NA
"1966","AU","1.49999999925",NA,NA,"332266",NA
"1966","CA","0","14.7460270333557",NA,NA,NA
"1966","DE","0.733333333333333",NA,NA,NA,NA
"1966","DK","2.3",NA,NA,"702375",NA
"1966","FR",NA,NA,NA,"633289",NA
"1966","GB","1.37499999933333",NA,NA,NA,NA
"1966","IL",NA,"-389",NA,NA,NA
"1966","US","3.78333333333333",NA,NA,"4234950",NA
"1966","ZA",NA,"264.599894265882",NA,NA,NA
"1967","AT","2.66666666641667",NA,NA,NA,NA
"1967","AU","1.6",NA,NA,"356644",NA
"1967","CA","0","659.237891668528",NA,NA,NA
"1967","DE","2.16666666666667",NA,NA,NA,NA
"1967","DK","2.699999999",NA,NA,"741219",NA
"1967","FR",NA,NA,NA,"664647",NA
"1967","GB","2.19999999941667",NA,NA,NA,NA
"1967","IL",NA,"-465",NA,NA,NA
"1967","NL",NA,"-230.66298325847",NA,NA,NA
"1967","US","3.84166666666667",NA,NA,"4351175",NA
"1967","ZA",NA,"47.5999809790478",NA,NA,NA
"1968","AT","2.9499999995",NA,NA,NA,NA
"1968","AU","1.52499999975",NA,NA,"375292",NA
"1968","CA","0","863.477545351368",NA,NA,NA
"1968","CO",NA,"-95.0000000004839",NA,NA,NA
"1968","DE","1.5",NA,NA,NA,NA
"1968","DK","4.93333333266667",NA,NA,"782379",NA
"1968","DO",NA,"-66.2",NA,NA,NA
"1968","FR",NA,NA,NA,"693997",NA
"1968","GB","2.3166666665",NA,NA,NA,NA
"1968","IL",NA,"-525",NA,NA,NA
"1968","NL",NA,"-48.618784495199",NA,NA,NA
"1968","US","3.58333333333333",NA,NA,"4564750",NA
"1968","ZA",NA,"449.399820419832",NA,NA,NA
"1969","AT","2.79166666591667",NA,NA,NA,NA
"1969","AU","1.52499999975",NA,NA,"400444",NA
"1969","CA","0","91.5770978850083",NA,NA,NA
"1969","CO",NA,"-81.000000000275",NA,NA,NA
"1969","DE","0.841666666666667",NA,NA,NA,NA
"1969","DK","3.89166666625",NA,NA,"833307",NA
"1969","DO",NA,"-69.7",NA,NA,NA
"1969","FR",NA,NA,NA,"743875",NA
"1969","GB","2.30833333308333",NA,NA,NA,NA
"1969","IL",NA,"-738",NA,NA,NA
"1969","NL",NA,"-118.232044113324",NA,NA,NA
"1969","US","3.50833333333333",NA,NA,"4707925",NA
"1969","ZA",NA,"89.5999641958541",NA,NA,NA
"1970","AT","2.39166666625",NA,NA,NA,NA
"1970","AU","1.3749999995",NA,NA,"427620",NA
"1970","BB",NA,"-47.69999997615",NA,NA,NA
"1970","CA","0","2225.30580345782",NA,NA,NA
"1970","CH",NA,NA,NA,"313052.63399605",NA
"1970","CO",NA,"-156.000000000572",NA,"137381879.347569",NA
"1970","DE","0.691666666666667",NA,NA,NA,NA
"1970","DK","2.96666666616667",NA,NA,"846613",NA
"1970","DO",NA,"-107.2",NA,NA,NA
"1970","FR",NA,NA,NA,"789156",NA
"1970","GB","2.483333333","976.799219928142",NA,"680356.646913285",NA
"1970","IL",NA,"-1087",NA,NA,NA
"1970","IT",NA,"107.68015989232",NA,NA,NA
"1970","NL",NA,"-607.458563096259",NA,NA,NA
"1970","PL",NA,NA,NA,"439772.843778987",NA
"1970","RO",NA,NA,NA,"222898.236690701",NA
"1970","SE",NA,"-119.84821793429",NA,NA,NA
"1970","US","4.93333333333334","-610",NA,"4717650",NA
"1970","VE",NA,"541",NA,NA,NA
"1970","ZA",NA,"-632.799747133221",NA,NA,NA
"1971","AT","2.10833333266667",NA,NA,NA,NA
"1971","AU","1.5999999995",NA,NA,"443965",NA
"1971","BB",NA,"-40.1037806452039",NA,NA,NA
"1971","CA","0","1599.64905168282",NA,NA,NA
"1971","CH",NA,NA,NA,"326436.376340812",NA
"1971","CO",NA,"-312.724139996097",NA,"145571179.556874",NA
"1971","DE","0.883333333333333","3129.29982017464",NA,NA,NA
"1971","DK","3.66666666591667",NA,NA,"872054",NA
"1971","DO",NA,"-118",NA,NA,NA
"1971","FR",NA,NA,NA,"831154",NA
"1971","GB","3.28333333283333","1855.09150783698",NA,"693872.606997684",NA
"1971","HT",NA,"-10.840000002168",NA,NA,NA
"1971","IL",NA,"-1142",NA,NA,NA
"1971","IT",NA,"811.921589513579",NA,NA,NA
"1971","MT",NA,"-50.6008822912017",NA,NA,NA
"1971","NL",NA,"-173.37132324126",NA,NA,NA
"1971","PL",NA,NA,NA,"472383.346150666",NA
"1971","RO",NA,"-23",NA,"234904.740175991",NA
"1971","SA",NA,"1680.47396190321",NA,NA,NA
"1971","SE",NA,"552.097602931456",NA,NA,NA
"1971","TO",NA,"-2.39456038341701",NA,NA,NA
"1971","US","5.95833333333333","-5040",NA,"4873025",NA
"1971","VE",NA,"810",NA,NA,NA
"1971","ZA",NA,"-829.604304769884",NA,NA,NA
"1972","AT","1.93333333283333",NA,NA,NA,NA
"1972","AU","2.24999999925",NA,NA,"452270",NA
"1972","BB",NA,"-47.7806285698511",NA,NA,NA
"1972","CA","0","998.715623641447",NA,NA,NA
"1972","CH",NA,NA,NA,"337722.961112149",NA
"1972","CO",NA,"-28.34299",NA,"156731507.866108",NA
"1972","DE","1.14166666666667","4172.8104947489",NA,NA,NA
"1972","DK","3.68333333275",NA,NA,"906320",NA
"1972","DO",NA,"-30.7",NA,NA,NA
"1972","FR",NA,NA,NA,"869393",NA
"1972","GB","3.64999999925","-285.446497453838",NA,"718169.816409106",NA
"1972","HT",NA,"-15.9399412619235",NA,NA,NA
"1972","IL",NA,"-987",NA,NA,NA
"1972","IT",NA,"967.05828777442",NA,NA,NA
"1972","JO",NA,"-214.75976298906",NA,NA,NA
"1972","MT",NA,"-28.5656880536869",NA,NA,NA
"1972","NL",NA,"1224.72666850476",NA,NA,NA
"1972","PL",NA,NA,NA,"494482.725397956",NA
"1972","RO",NA,"-47",NA,"240317.012422567",NA
"1972","SA",NA,"2569.51366487101",NA,NA,NA
"1972","SE",NA,"850.4085812561",NA,NA,NA
"1972","SG",NA,"-481.422222393395",NA,NA,NA
"1972","TO",NA,"-3.70254220610496",NA,NA,NA
"1972","US","5.61666666666667","-10120",NA,"5128750",NA
"1972","VE",NA,"474",NA,NA,NA
"1972","ZA",NA,"518.444007958403",NA,NA,NA
"1973","AT","1.56666666641667",NA,NA,NA,NA
"1973","AU","1.87499999975",NA,NA,"474983",NA
"1973","BB",NA,"-57.9312016341439",NA,NA,NA
"1973","CA","0","1798.48534707659",NA,NA,NA
"1973","CH",NA,NA,NA,"348398.311454548",NA
"1973","CO",NA,"121.474590003674",NA,"167270810.456199",NA
"1973","DE","1.26666666666667","9331.4853303669",NA,NA,NA
"1973","DK","2.44166666608333",NA,NA,"943415",NA
"1973","DO",NA,"-50.3",NA,NA,NA
"1973","FR",NA,NA,NA,"923869",NA
"1973","GB","2.54999999933333","-4575.45016724175",NA,"771019.918129608",NA
"1973","HT",NA,"-17.9799999879341",NA,NA,NA
"1973","IL",NA,"-2448",NA,NA,NA
"1973","IT",NA,"-3328.1102913953",NA,NA,NA
"1973","JO",NA,"-244.087372991584",NA,NA,NA
"1973","MT",NA,"-17.0825839453066",NA,NA,NA
"1973","NL",NA,"1967.20376610726",NA,NA,NA
"1973","PL",NA,NA,NA,"515159.199579644",NA
"1973","RO",NA,"207",NA,"244111.825673204",NA
"1973","SA",NA,"5250.10994999854",NA,NA,NA
"1973","SE",NA,"1737.93577233681",NA,NA,NA
"1973","SG",NA,"-414.264592319104",NA,NA,NA
"1973","TO",NA,"-3.86252704151622",NA,NA,NA
"1973","US","4.89166666666667","-1140",NA,"5418225",NA
"1973","VE",NA,"1676",NA,NA,NA
"1973","ZA",NA,"723.921400116415",NA,NA,NA
"1974","AT","1.53333333266667",NA,NA,NA,NA
"1974","AU","2.24999999975",NA,NA,"482157",NA
"1974","BB",NA,"-54.791694109447",NA,NA,NA
"1974","BJ",NA,"-73.8996886706192",NA,NA,NA
"1974","CA","0","188.806815456842",NA,NA,NA
"1974","CH",NA,NA,NA,"352497.73867619",NA
"1974","CO",NA,"-217.224400000452",NA,"176880839.586178",NA
"1974","DE","2.65","15082.2337329296",NA,NA,NA
"1974","DK","5.24999999941667",NA,NA,"932826",NA
"1974","DO",NA,"-186.2",NA,NA,NA
"1974","FR",NA,NA,NA,"963619",NA
"1974","GB","2.51666666591667","-9991.1587112897",NA,"757924.089949406",NA
"1974","HN",NA,"-123.949999974313",NA,NA,NA
"1974","HT",NA,"-38.8599677781539",NA,NA,NA
"1974","IL",NA,"-2983",NA,NA,NA
"1974","IT",NA,"-7884.88733249247",NA,NA,NA
"1974","JO",NA,"-350.210862384551",NA,NA,NA
"1974","MG",NA,"-65.3915861302535",NA,NA,NA
"1974","MT",NA,"-64.853927505901",NA,NA,NA
"1974","MY",NA,"-85.5813438476368",NA,NA,NA
"1974","NE",NA,"-122.581752525033",NA,NA,NA
